,,,Matemática e física,"Lógica, algoritmos, teoria da comp,  estruras de dados.",Linguagens e paradigmas.,PAA,Configurar plataformas para softwares e serviços.,Arquiteturas de computadores,Segurança de sis. de comp.,Engenharia de software,Inteligência artificial,Desenvolvimento Web e Mobile,Sistemas microprocessados,Redes de computadores,Software para sistemas de comunicação,Conhecimento em sistemas de automação ,Gerenciar projetos e sistemas de computação,Engenharia-econômica,Compreender e resolver problemas,Autoaprendizado,Criatividade e Inovação,Comunicação oral e escrita,Língua inglesa,Empreender e exercer liderança,Trabalho em equipe,
1o,ECOI01,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,,,,,,,,,,,,,,,,,,3,1,1,,,5,0
,ECOI02,LÓGICA DE PROGRAMAÇÃO,3,2,1,,0,,,,,,,,,,,,2,1,,,,,1,0
,ECOI03,MATEMÁTICA DISCRETA,4,2,,,,1,,,,,,,,,,,1,2,,,,,,0
,EMEI02,DESENHO APLICADO,,,,,,,,,,,,,,,,,,,,6,,,4,0
,FISI01,FUNDAMENTOS DE MECÂNICA,7,,,,,,,,,,,,,,,,1,2,,,,,,0
,HUMI01,CIÊNCIA TECNOLOGIA E SOCIEDADE,,,,,,,,,,,,,,,,,1,,1,,,2,6,0
,HUMI02,LÍNGUA PORTUGUESA I,,,,,,,,,,,,,,,,,,3,,6,,,1,0
,MATI01,CÁLCULO DIFERENCIAL E INTEGRAL I,6,,,,,,,,,,,,,,,,1,3,,,,,,0
,MATI02,GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR,7,,,,,,,,,,,,,,,,1,2,,,,,,0
2o,ECOI04,ALGORITMOS E ESTRUTURA DE DADOS I,1,4,1,,,,,,,,,,,,,,1,1,,,1,,1,0
,EELI02,CIRCUITOS LÓGICOS,2,,,,,2,,,,,,,,,,,2,2,,1,1,,,0
,EELI03,LABORATÓRIO DE CIRCUITOS LÓGICOS,1,,,,,2,,,,,,,,,,,2,2,,1,1,,1,0
,EMEI06,MECÂNICA ESTÁTICA,6,,,,,,,,,,,,,,,,,3,,,1,,,0
,EMTI02,QUÍMICA GERAL,4,,,,,,,,,,,,,,,,2,3,,,1,,,0
,EMTI03,LABORATÓRIO DE QUÍMICA GERAL,4,,,,,,,,,,,,,,,,2,3,,,1,,,0
,FISI02,FUNDAMENTOS DE MECÂNICA ONDULATÓRIA E TERMODINÂMICA,7,,,,,,,,,,,,,,,,1,2,,,,,,0
,FISI03,LABORATÓRIO DE FÍSICA A,3,,,,,,,,,,,,,,,,,1,,4,,,2,0
,MATI03,CÁLCULO DIFERENCIAL E INTEGRAL II,7,,,,,,,,,,,,,,,,1,2,,,,,,0
3o,ECOI08,ALGORITMOS E ESTRUTURA DE DADOS II,1,4,1,,,,,1,,,,,,,,,,1,,1,,,1,0
,ECOI61,METODOLOGIA CIENTÍFICA PARA ENGENHARIA DA COMPUTAÇÃO,,,,,,,,,,,,,,,,,,,,5,,,5,0
,EMBI02,RESISTÊNCIA DOS MATERIAIS I,7,,,,,,,,,,,,,,,,1,2,,,,,,0
,EMEI07,FENÔMENOS DE TRANSPORTE,7,,,,,,,,,,,,,,,,1,2,,,,,,0
,EMEI08,LABORATÓRIO DE FENÔMENOS DE TRANSPORTE,6,,,,,,,,,,,,,,,,1,1,,,,,2,0
,FISI04,FUNDAMENTOS DE ELETROMAGNETISMO,7,,,,,,,,,,,,,,,,1,2,,,,,,0
,HUMI06,METODOLOGIA CIENTÍFICA,,,,,,,,,,,,,,,,,,,,5,,,5,0
,MATI06,CÁLCULO DIFERENCIAL E INTEGRAL III,7,,,,,,,,,,,,,,,,1,2,,,,,,0
,MATI07,EQUAÇÕES DIFERENCIAIS I,4,,,,,,,,,,,,,,,,1,2,,1,,1,1,0
4o,ECOI09,LINGUAGENS DE PROGRAMAÇÃO,,1,3,,,,,1,,,,,,,,,,1,,1,2,,1,0
,EELI07,CIRCUITOS ELÉTRICOS I,4,,,,,,,,,,,,,,,,3,2,,,1,,,0
,FISI05,FUNDAMENTOS DE ÓTICA E FÍSICA MODERNA,6,,,,,,,,,,,,,,,,2,2,,,,,,0
,FISI07,ELETROMAGNETISMO CLÁSSICO,5,,,,,,,,,,,,,,,,1,2,,1,,,1,0
,MATI04,ÁLGEBRA LINEAR,8,,,,,,,,,,,,,,,,1,1,,,,,,0
,MATI05,ESTATÍSTICA,7,,,,,,,,,,,,,,,,1,,,1,,,1,0
,MATI08,CÁLCULO NUMÉRICO,6,1,1,,,,,,,,,,,,,,1,,,1,,,,0
5o,ECAI26,SINAIS E SISTEMAS,4,,,,,,,,,,,,,,,,3,3,,,,,,0
,ECOI10,LABORATÓRIO DE CIRCUITOS ELÉTRICOS I,4,,,,,,,,,,,,,,,,2,3,,0,1,,,0
,ECOI11,PROJETO E ANÁLISE DE ALGORITMOS,1,1,1,3,,,,,,,,,,,,,,1,,1,1,,1,0
,ECOI12,ARQUITETURA DE COMPUTADORES,,1,,,,3,,,,,,,,,,,,3,,1,1,,1,0
,ECOI14,BANCO DE DADOS,,2,3,,2,,,,,,,,,,,,,,,1,1,,1,0
,EELI10,ELETRÔNICA BÁSICA I,4,,,,,,,,,,,,,,,,2,3,,0,1,,,0
,EELI11,LABORATÓRIO DE ELETRÔNICA BÁSICA I,4,,,,,,,,,,,,,,,,2,3,,0,1,,,0
,FISI06,"LABORATÓRIO FÍSICA B (ELETROMAGNETISMO, ÓTICA E FÍSICA MODERNA)",6,,,,,,,,,,,,,,,,,1,,2,,,1,0
6o,ECAI29,MODELAGEM E ANÁLISE DE SISTEMAS DINÂMICOS,4,,,,,,,,,,,,,,,,2,1,,1,1,,1,0
,ECOI15,SISTEMAS OPERACIONAIS,,1,2,,5,,,,,,,,,,,,,1,,,1,,,0
,ECOI16,ENGENHARIA DE SOFTWARE,,,,,,,,3,,,,,,,,,1,2,1,1,1,,1,0
,ECOI32,CIRCUITOS INTEGRADOS ANALÓGICOS,2,,,,,2,,,,,,,,,,,2,1,,2,1,,,0
,EELI12,ELETRÔNICA BÁSICA II,4,,,,,,,,,,,,,,,,2,2,,1,1,,,0
,EELI13,LABORATÓRIO DE ELETRÔNICA BÁSICA II,3,,,,,,,,,,,,,,,,2,2,,1,1,,1,0
,EELI14,ELETRÔNICA DIGITAL,4,,,,,,,,,,,,,,,,2,2,,1,1,,,0
,EELI15,LABORATÓRIO DE ELETRÔNICA DIGITAL,3,,,,,,,,,,,,,,,,2,2,,1,1,,1,0
7o,ECAI04,INTRODUÇÃO AOS SISTEMAS DE CONTROLE,2,,,,,,,,,,,,,,,,2,2,,3,1,,,0
,ECAI11,MICROCONTROLADORES,,1,,,1,1,,,,,2,,1,1,,,1,1,,,1,,,0
,ECAI13,LABORATÓRIO DE PROCESSAMENTO DIGITAL DE SINAIS,2,1,,,,,,,,,,,2,,,,1,1,,1,,,2,0
,ECAI44,PROCESSAMENTO DIGITAL DE SINAIS,3,,,,,,,,,,,,2,,,,2,1,,,2,,,0
,ECOI13,TEORIA DA COMPUTAÇÃO,1,6,,,,,,,,,,,,,,,1,1,1,,,,,0
,ECOI18,PRINCÍPIOS DE COMUNICAÇÃO,3,,,,,,,,,,,,2,,,,2,1,,,2,,,0
,ECOI19,LABORATÓRIOS DE PRINCÍPIOS DE COMUNICAÇÃO,2,1,,,,,,,,,,,,,,,1,1,,1,,,4,0
,ECOI33,CIRCUITOS INTEGRADOS DIGITAIS,2,,,,,2,,,,,,,,,,,2,1,,2,1,,,0
8o,ECAI05,LABORATÓRIO DE SISTEMAS DE CONTROLE I,3,,,,,,,,,,,,,,,,3,3,,,1,,,0
,ECAI07,AUTOMAÇÃO DE SISTEMAS INDUSTRIAIS,2,,,,,,,,,,,,,4,1,,1,,,1,1,,,0
,ECOI07,SISTEMAS EMBARCADOS E DE TEMPO REAL,,1,,,1,1,,1,,,2,,1,,1,0,1,,,,1,,,0
,ECOI21,REDES DE COMPUTADORES,,1,,,,,,,,,,5,,,,,,1,,1,1,,1,0
,ECOI24,COMPUTAÇÃO GRÁFICA E PROCESSAMENTO DIGITAL DE IMAGENS,,3,1,,,,,,,,,,,,,,1,1,1,1,1,,1,0
,ECOI26,COMPILADORES,,4,1,,,,,,,,,,,,,,,1,1,1,1,,1,0
,EPRI30,PESQUISA OPERACIONAL,,1,,,,,,,,,,,,,,,,2,,3,1,,3,0
9o,EAMI30,CIÊNCIAS DO AMBIENTE,,,,,,,,,,,,,,,,,1,2,,3,1,,3,0
,ECOI20,GESTÃO DE PROJETOS,,,,,,,,,,,,,,,2,2,1,2,,1,,1,1,0
,ECOI22,INTELIGÊNCIA ARTIFICIAL,,1,1,1,,,,,3,,,,,,,,,1,,1,1,,1,0
,ECOI23,SISTEMAS PARALELOS E DISTRIBUIDOS,,3,2,1,,,,,,,,,,,,,,2,,1,,,1,0
,ECOI25,INTERFACE HOMEM-COMPUTADOR,,2,1,,,,,,,,,,,,,,,,3,,2,,2,0
,EPRI02,ADMINISTRAÇÃO,,,,,,,,,,,,,,,,,,,1,5,,,4,0
,EPRI04,INTRODUÇÃO À ECONOMIA,,,,,,,,,,,,,,,,,,,1,2,2,2,3,0
,HUMI04,CIDADANIA E RESPONSABILIDADE SOCIAL,,,,,,,,,,,,,,,,,,1,0,4,,2,3,0
,,,200,44,19,5,9,14,0,6,3,0,4,5,8,5,4,2,75,110,11,79,43,8,76,
,,,,,,,100,,,,,,,13,,,202,,,,,,206,,,